index,age,gender,income,edu,city,smartphone,sns,movieNm,theaterNm,newspaper
10650,8,1,1,2,2, ,2,1,0,2
2942,66,2,1,4,1,0,2,0,0,2
1651,56,1,6,4,1,1,1,0,0,1
3405,34,2,1,6,1,1,1,0,0,1
10210,32,2,6,5,1,1,1,12,3,1
3842,74,1,2,2,1, ,2,0,0,2
7670,59,2,1,3,1,1,2,0,0,2
4313,58,1,9,5,1,1,2,3,0,1
6688,14,1,1,3,1,1,2,0,0,2
1941,13,2,1,3,1,1,2,3,6,1
3672,19,1,1,5,1,1,2,10,0,2
5169,70,2,1,4,1,1,2,1,0,2
171,21,2,2,5,1,1,1,4,0,1
3766,26,2,6,5,1,1,1,6,2,1
6918,35,2,6,5,2,1,1,4,0,1
10105,30,1,8,5,1,1,2,8,0,1
2606,37,1,7,5,2,1,1,8,0,2
9630,18,1,1,4,1,1,1,3,2,1
7797,46,2,5,4,1,1,2,1,0,2
817,34,2,2,4,1,1,1,2,0,2
3465,24,1,4,5,1,1,1,5,0,1
2369,45,2,1,6,1,1,1,3,0,1
6093,72,1,4,5,1,0,2,0,0,2
7793,82,2,2,2,1,0,2,0,0,2
6991,40,2,1,4,1,1,2,0,0,1
9968,16,2,1,4,1,1,2,3,0,2
2216,37,1,1,4,1,1,2,3,0,1
4657,43,1,7,4,1,1,2,2,0,1
1145,56,2,3,5,1,1,2,1,0,2
9771,12,1,1,2,1,1,2,5,0,2
2932,65,2,4,4,1,1,2,0,0,1
8782,45,1,8,5,1,1,1,2,0,1
8320,41,1,5,5,1,1,2,2,1,1
10455,79,1,2,2,1,1,2,0,0,2
5580,65,1,3,2,2,0,2,0,0,2
1467,54,2,4,4,1,1,2,0,0,2
7496,79,1,1,2,1,1,2,0,0,2
1749,7,1,1,2,1, ,2,0,0,2
803,36,2,7,5,1,1,2,12,0,2
5999,26,1,1,5,1,1,1,0,0,1
1781,19,1,1,5,1,1,1,5,1,2
7405,11,1,1,2,2, ,2,3,0,2
9789,47,2,1,5,1,1,1,4,0,1
3862,27,1,4,5,1,1,2,2,0,1
9861,56,2,5,5,1,1,1,4,1,1
5811,56,2,2,2,1,1,2,0,0,2
411,80,1,5,3,1,0,2,2,0,2
8972,53,2,7,5,1,1,1,6,4,1
7630,76,1,3,2,1,0,2,0,0,2
4224,44,2,5,5,1,1,1,10,1,1
437,42,2,5,5,1,1,2,5,0,2
7025,74,2,2,2,2,0,2,0,0,2
6650,53,2,5,4,1,1,2,0,0,2
6347,58,2,1,4,1,1,2,1,0,1
10604,62,2,1,3,1,1,1,0,0,2
4238,55,1,6,4,1,1,1,0,0,1
6406,11,2,1,2,1,1,1,5,0,1
959,79,2,2,2,1,0,2,0,0,2
2351,71,2,1,3,1,1,2,0,0,2
4300,51,2,1,4,1,1,2,4,0,1
7224,73,2,1,2,1,0,2,0,0,2
3580,56,1,18,5,1,1,2,0,0,2
2359,51,1,2,6,1,1,1,0,0,1
1468,30,2,4,5,1,1,1,10,0,1
5741,68,2,4,2,2,1,2,0,0,2
882,21,2,5,5,1,1,1,3,0,1
8438,17,1,1,4,1,1,1,4,0,1
2518,16,1,1,4,2,1,1,1,0,2
3140,33,1,6,5,1,1,1,3,0,1
481,29,2,5,5,1,1,1,6,2,1
10307,72,1,4,3,1,0,2,0,0,2
1729,61,1,4,4,1,1,2,5,0,1
10361,39,2,7,5,1,1,1,8,0,1
7540,43,1,9,5,1,1,1,0,0,1
7628,64,2,1,2,1,0,2,0,0,2
242,57,1,10,5,1,1,2,3,1,1
2697,46,2,4,5,1,2,2,2,1,1
2064,52,2,6,5,1,1,1,12,0,2
7422,54,1,5,4,2,1,2,2,0,1
4937,66,1,4,4,1,1,1,0,0,1
3985,57,2,1,5,1,1,2,0,0,2
6928,79,2,1,2,2,1,2,0,0,2
8765,45,1,10,5,1,1,2,5,0,1
500,42,2,1,4,1,1,2,2,0,2
7678,94,1,1,2,1,0,2,0,0,2
6589,76,2,2,3,1,1,2,0,0,2
10757,72,2,1,2,1,1,2,0,0,2
2468,24,1,1,5,1,1,1,4,0,1
2619,21,2,5,4,1,1,1,6,0,2
229,16,1,1,4,1,1,2,1,0,2
8383,49,2,1,6,1,1,1,8,2,1
