movieCd,audiCnt,audiAcc,scrnCnt,showCnt
20207101,846,846,26,28
20167904,3379,3676566,306,497
20192399,2541,796201,281,422
20124721,1738,7079664,318,445
20148493,1245,10497343,307,399
20206865,1129,2472,138,189
19888010,975,39435,89,140
20206190,932,27631,187,292
20207101,862,1708,24,27
20207722,809,2109,3,3
20204741,760,15169,104,159
20167904,6936,3683502,376,659
20192399,6790,802991,347,600
20124721,2891,7082555,382,577
20148493,2239,10499582,365,505
20206865,2128,4600,157,239
20196716,2076,13258,156,224
20206190,1972,29603,241,417
19888010,1741,41176,92,154
20206021,1302,25698,122,225
20204741,1293,16462,109,188
20192399,6313,809304,345,605
20167904,6213,3689715,387,679
20124721,2406,7084961,350,507
20196716,2333,15591,154,231
20206865,2194,6794,169,241
20148493,2183,10501765,344,488
20206190,2021,31624,237,420
19888010,1446,42622,91,152
20204741,1373,17835,113,197
20190280,1256,685842,72,124
20207722,2826,4935,22,22
20167904,2453,3692168,319,537
20192399,2289,811593,314,485
20206865,1022,7816,136,201
20124721,927,7085888,254,332
20148493,884,10502649,270,340
20206190,831,32455,191,293
19888010,681,43303,86,135
20196716,681,16272,128,180
20204741,505,18340,99,146
20207722,4919,9854,28,28
20167904,2907,3695075,343,557
20192399,2773,814366,326,497
20206865,1207,9023,142,212
20148493,1115,10503764,291,387
20124721,996,7086884,277,376
20206190,925,33380,202,312
19888010,767,44070,84,134
20204741,676,19016,101,160
20196716,657,16929,135,189
20205402,9638,10880,196,549
20197397,8248,8248,374,648
20184889,6980,13941572,491,691
20181685,6934,7167,364,732
20206441,6452,6535,176,463
20183782,6326,10295966,456,982
20177478,4622,11217332,391,537
20206982,3961,4393,172,414
20192399,3681,818047,257,383
20167904,2849,3697924,266,411
20205402,15352,26232,228,682
20197397,11317,19565,457,800
20207722,10458,22429,422,761
20181685,9765,16932,416,770
20184889,8809,13950381,517,750
20206441,7481,14016,221,573
20192399,7192,825239,275,411
20167904,5129,3703053,268,417
20183782,4647,10300613,447,922
20177478,4559,11221891,432,594
20205402,8822,35054,281,791
20197397,7279,26844,533,933
20173226,6391,10601,320,397
20181685,6150,23082,444,776
20207722,5880,28309,437,782
20184889,5624,13956005,479,647
20206441,4745,18761,232,584
20192399,4482,829721,306,440
20167904,3278,3706331,289,437
20177478,2648,11224539,364,459
20205402,10946,46000,311,886
20197397,7913,34757,528,1021
20181685,7115,30197,460,803
20173226,6634,17235,357,474
20184889,5766,13961771,456,617
20207722,5731,34040,468,828
20206441,5403,24164,238,608
20192399,4828,834549,318,476
20167904,3547,3709878,295,428
20177478,2436,11226975,337,428
20205402,11115,57115,303,894
20197397,7499,42256,525,1026
20181685,6856,37053,461,810
20173226,6618,23853,397,523
20207722,6418,40458,457,820
20206441,5793,29957,240,615
20184889,5656,13967427,451,609
20192399,4887,839436,332,481
20167904,3429,3713307,286,414
20177478,2250,11229225,334,405
20205402,6806,63921,298,858
20173226,5843,29696,385,519
20197397,5057,47313,484,964
20207722,4746,45204,441,794
20181685,3873,40926,420,721
20184889,3507,13970934,406,531
20192399,3340,842776,307,485
20206441,3312,33269,228,563
20167904,2401,3715708,268,392
20177478,1496,11230721,286,351
20205402,29363,93284,344,1133
20197397,8883,56196,511,1085
20207722,8465,53669,463,866
20204342,8235,18217,367,575
20206441,8150,41419,235,651
20173226,8142,37838,409,575
20181685,7806,48732,465,837
20184889,6668,13977602,439,587
20192399,5815,848591,321,532
20167904,4649,3720357,291,429
