date,rain,temp
2010-01-01,1.0,-7.030367455757068
2010-01-02,2.8,-4.201837888526578
2010-01-03,2.0,-2.479551579175829
2010-01-04,6.9,3.896075963506104
2010-01-05,2.7,-5.171530481066419
2010-01-06,4.3,-5.303675082919314
2010-01-07,1.0,-11.51111123648397
2010-01-08,3.0,-8.293354073920261
2010-01-09,1.1,-7.968653910325418
2010-01-10,4.0,1.0169791949620015
2010-01-11,1.0,-1.2342235053411295
2010-01-12,1.4,-1.6634766092330748
2010-01-13,1.7,-11.220178221301273
2010-01-14,0.1,-10.579513379731441
2010-01-15,4.1,-5.2087452887802765
2010-01-16,3.0,-4.252504000046338
2010-01-17,2.0,-4.8684648706548685
2010-01-18,4.0,1.3214331735602243
2010-01-19,0.3,3.687017507145207
2010-01-20,12.8,7.294116870124723
2010-01-21,4.1,1.2875818866768372
2010-01-22,1.0,-4.104834574803627
2010-01-23,4.1,0.31455605724199653
2010-01-24,1.0,-1.7070555782128491
2010-01-25,1.0,-0.45032167567051395
2010-01-26,1.0,-4.308960695638618
2010-01-27,7.5,-0.6148703422816733
2010-01-28,3.1,5.521047342649341
2010-01-29,0.0,1.60484556182485
2010-01-30,1.0,10.073161305484712
2010-01-31,2.0,4.4313871979380774
2010-02-01,4.2,2.543590925319299
2010-02-02,0.0,0.727498341716224
2010-02-03,2.0,-2.5321177915936985
2010-02-04,2.1,-1.9007304755836114
2010-02-05,1.0,-4.95940890857411
2010-02-06,3.0,-5.347506286163677
2010-02-07,0.1,1.3260085959924233
2010-02-08,3.7,6.534366148609223
2010-02-09,7.9,7.195590662833613
2010-02-10,12.0,5.684119244883189
2010-02-11,17.3,-0.8137815237047707
2010-02-12,4.1,-0.8720518849960139
2010-02-13,2.9,-2.7888014364804716
2010-02-14,2.0,-1.4795684322472633
2010-02-15,4.1,-4.4498395159554605
2010-02-16,2.6,-0.749723124236102
2010-02-17,3.4,2.537367944320059
2010-02-18,1.5,-3.2998170222559047
2010-02-19,1.1,-1.0460669945520493
2010-02-20,1.0,0.6126844556431292
2010-02-21,0.0,0.8578783124092104
2010-02-22,2.0,-0.2708855624987061
2010-02-23,3.0,6.756484317864307
2010-02-24,3.0,11.632947896583795
2010-02-25,34.4,17.482513681718558
2010-02-26,7.1,10.717722685684606
2010-02-27,5.5,9.679619926949531
2010-02-28,3.1,7.538614183428329
2010-03-01,16.6,2.0990948947899954
2010-03-02,1.3,5.978987154542105
2010-03-03,7.0,-0.03368949918118158
2010-03-04,5.9,5.687845525892086
2010-03-05,4.8,11.55708156547198
2010-03-06,3.3,12.865538854359713
2010-03-07,2.9,4.462655482991702
2010-03-08,2.9,-0.35564209541885905
2010-03-09,7.7,-1.5980312628164661
2010-03-10,6.9,-1.7849465350600855
2010-03-11,1.0,3.848077798928766
2010-03-12,2.0,9.138374341582486
2010-03-13,0.0,5.524849047268603
2010-03-14,3.1,8.403377145588276
2010-03-15,17.5,7.941988655721213
2010-03-16,0.0,3.925652449263198
2010-03-17,2.1,6.639937042200653
2010-03-18,3.3,0.6033802493161629
2010-03-19,3.0,8.078590839297124
2010-03-20,2.0,12.205567979408546
2010-03-21,5.0,3.550736409659347
2010-03-22,3.0,5.263385053818153
2010-03-23,3.4,7.752143693188417
2010-03-24,4.1,7.701169153993889
2010-03-25,6.6,3.143844832748685
2010-03-26,0.0,6.995289813982877
2010-03-27,0.9,10.666277998194655
2010-03-28,2.0,3.206366196602499
2010-03-29,2.0,8.148365131534693
2010-03-30,3.0,8.497827551696135
2010-03-31,19.8,13.292998000843706
2010-04-01,18.8,5.6796641318085745
2010-04-02,4.0,10.002019984673101
2010-04-03,5.0,9.200986329501845
2010-04-04,3.0,8.16493888870837
2010-04-05,4.0,14.228381045905055
2010-04-06,1.1,8.526653550924692
2010-04-07,0.1,11.548962196971683
2010-04-08,3.0,8.387958033420233
2010-04-09,6.0,8.98456060047721
2010-04-10,0.1,11.268495050612001
2010-04-11,1.9,6.483613478352442
2010-04-12,6.8,15.763874839006018
2010-04-13,3.6,5.641174045725614
2010-04-14,0.7,8.548416294599974
2010-04-15,4.0,5.466314865404627
2010-04-16,0.0,8.12101913234807
2010-04-17,2.0,13.162367892717889
2010-04-18,2.2,12.744091554204266
2010-04-19,9.5,14.570370642248603
