관객,전체스크린수,전체영화상영횟수,평균개봉기간,최고점유율,점유율편차,관객수,스크린수
1107.59,2246.0,10272.0,22.8,31.5,8.488816171881684,1178.59,2207.0
1474.18,2219.0,10088.0,10.0,25.9,7.196264463054581,1546.18,2208.0
4195.27,2287.0,11522.0,,25.3,6.972557318197932,,2248.0
1852.27,2151.0,9552.0,12.7,48.2,13.997714099094894,1968.27,2233.0
2261.52,,10305.0,13.0,50.1,,2351.52,2168.0
4947.72,2331.0,,15.7,46.5,13.667414613679586,4997.72,2296.0
5113.03,2337.0,,8.0,40.0,,5183.03,2253.0
1289.68,2110.0,9707.0,11.2,42.1,12.733874334056996,1332.68,2143.0
1223.65,2126.0,9531.0,12.2,,12.733664917148644,1324.65,2076.0
6499.74,2418.0,12098.0,10.7,49.0,15.04764285712402,6556.74,2478.0
5461.83,2390.0,11560.0,11.7,46.0,14.249931773715815,5520.83,2337.0
1482.49,2213.0,10187.0,13.2,39.7,12.834281350265696,1533.49,2208.0
4508.82,2345.0,11807.0,9.6,30.5,8.708877973399074,4608.82,2305.0
1511.37,2172.0,10402.0,9.7,,6.803953099322317,1573.37,2151.0
5012.27,2468.0,11885.0,10.2,34.6,10.361686906848496,5050.27,2499.0
1410.05,2268.0,9843.0,10.5,24.9,,1523.05,2208.0
5328.05,2686.0,12102.0,11.3,,10.360871906681727,,2663.0
4526.51,2561.0,11587.0,12.1,37.0,,4585.51,2568.0
1646.45,2339.0,10093.0,14.3,39.0,11.223789219530294,1748.45,2325.0
1831.23,2355.0,10533.0,9.7,30.2,11.227624662213984,1917.23,2375.0
7235.97,2611.0,12346.0,11.3,,11.95281928621398,7298.97,2588.0
3261.58,2821.0,10815.0,18.0,37.8,11.666328566529494,3391.58,2837.0
15042.38,3077.0,12905.0,10.5,23.7,8.817684251296118,15161.38,3054.0
3340.81,2830.0,11036.0,21.6,28.4,9.195294690462315,3418.81,2863.0
7161.77,2744.0,12646.0,10.3,32.4,10.010355749034208,7250.77,2733.0
7003.4,2694.0,9048.0,,24.5,8.509576304898435,7094.4,2699.0
1765.75,,8082.0,27.5,22.6,8.545232588993702,1860.75,2626.0
1723.44,2515.0,7840.0,26.6,,8.511143022858652,,2484.0
2457.69,2398.0,8829.0,10.6,21.9,6.97124251638273,2531.69,2371.0
6048.62,,8888.0,14.5,27.6,8.015741457351973,6198.62,2600.0
5372.92,2451.0,,25.2,27.8,8.168503194860392,5488.92,2443.0
3449.85,2512.0,8927.0,8.1,31.0,10.916674300251785,3522.85,2548.0
8308.91,2832.0,9573.0,,29.7,11.282060489506732,8382.91,2807.0
6964.15,2812.0,12227.0,15.1,39.4,12.861056635353794,7050.15,2852.0
1694.82,2484.0,10381.0,12.8,48.5,14.59765582398611,1769.82,2529.0
2663.27,2332.0,11612.0,9.7,31.9,10.224268514992485,2775.27,2201.0
,2714.0,12256.0,9.2,27.1,9.059678679609878,7071.1,2769.0
6459.0,2730.0,11734.0,9.6,25.8,8.827079547241734,6525.0,2764.0
2332.32,2425.0,11035.0,11.5,30.6,9.256445202008043,2475.32,2440.0
3739.43,2596.0,,11.0,18.8,5.042309876325423,3826.43,2621.0
7337.2,2738.0,10056.0,11.7,17.0,4.671426144361293,7458.2,2826.0
1474.92,2507.0,9860.0,13.0,,6.888186344104747,1559.92,2511.0
1934.11,2360.0,9946.0,11.5,27.8,7.747465535400737,1998.11,2371.0
4918.72,2549.0,10327.0,13.5,20.3,5.860640844746512,5041.72,2557.0
1254.65,2327.0,9086.0,14.5,27.7,7.645594228777193,1359.65,
1534.16,2294.0,,15.8,28.9,9.01197351675351,1628.16,2315.0
1944.69,2178.0,10834.0,7.3,16.5,5.175637373524369,2056.69,2137.0
1225.32,2206.0,9267.0,,15.9,4.788423540164343,1324.32,2227.0
1038.68,2186.0,8587.0,16.2,16.5,5.086463517131634,1148.68,2232.0
1499.84,2239.0,9562.0,12.6,40.0,11.163636404764256,1582.84,2244.0
1385.67,,,11.1,25.5,,1483.67,2397.0
1744.59,2377.0,10025.0,11.9,,9.586802270714557,1870.59,2333.0
1341.2,,,11.9,32.3,10.168518956946377,1421.2,2139.0
,2213.0,8969.0,11.6,31.0,9.678894564980034,,2289.0
5699.75,2728.0,10072.0,10.4,43.3,12.802538810720314,5822.75,2791.0
5760.05,2879.0,11868.0,10.2,22.8,,5838.05,2850.0
1738.36,2407.0,10487.0,15.2,39.9,11.654512716826329,1824.36,
1644.76,2392.0,,16.9,47.2,13.768486562517399,,2406.0
1598.09,,9939.0,17.1,48.4,14.105554461511488,,2416.0
7946.29,2691.0,11176.0,14.6,64.5,20.399153032526726,8085.29,2727.0
2065.57,2434.0,9954.0,20.5,51.4,17.47982964575011,2130.57,2399.0
11170.16,2670.0,12492.0,11.2,,15.866120438777015,11238.16,
2118.78,,11280.0,9.3,20.6,7.9083359676848435,2178.78,2761.0
1943.35,2639.0,11022.0,,22.5,8.300709474362888,2043.35,2654.0
5855.39,2593.0,10651.0,19.4,84.7,26.34371947078764,6027.39,
3327.18,2411.0,9493.0,,75.3,,3419.18,2384.0
9409.92,,11122.0,22.8,72.2,,9531.92,2545.0
3674.73,,10694.0,18.6,55.3,17.554565724556607,3718.73,2556.0
,2736.0,11328.0,14.1,30.5,10.910973069957297,3781.18,2673.0
3367.02,2720.0,11414.0,18.8,23.7,9.69687807721869,3509.02,2692.0
7028.7,3093.0,11934.0,19.4,19.7,6.6212536577297785,7129.7,3092.0
5776.98,3091.0,11762.0,20.8,,6.9338541471055875,5848.98,3108.0
6439.84,3636.0,12761.0,20.3,,,6556.84,3714.0
4498.28,2845.0,12431.0,11.5,30.2,9.056250143777321,4606.28,2838.0
5136.08,3017.0,12490.0,10.4,30.0,8.349823684099896,5213.08,3108.0
11540.34,3404.0,,9.7,33.3,9.065741374353596,,
11018.26,3145.0,12553.0,12.4,,11.097647398335278,11070.26,
3340.99,2903.0,,16.8,35.1,11.245053233409893,3394.99,2944.0
2782.18,2528.0,10411.0,,34.4,11.055018970786277,2859.18,2524.0
2201.56,2507.0,9839.0,,35.9,11.904042263963206,2286.56,
2555.54,2454.0,10144.0,13.6,27.4,9.396388194998707,2621.54,2330.0
