age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
24,0,4,5,1,1,0,1,0
88,1,2,2,1,0,0,0,0
56,0,6,4,1,1,0,1,0
53,1,12,4,1,1,1,1,0
28,0,4,5,1,1,0,1,0
25,0,3,5,1,1,0,1,0
68,0,6,4,1,1,0,0,1
61,1,7,4,1,1,0,0,1
25,1,5,5,1,1,0,1,1
55,0,7,5,1,1,0,0,1
51,1,5,4,1,1,0,0,0
32,1,7,5,1,1,0,0,1
44,1,1,5,1,1,0,1,0
13,0,1,2,1,1,0,1,0
71,0,4,3,1,1,0,0,1
69,1,1,2,1,0,0,0,0
59,0,10,5,1,1,0,1,1
59,1,6,4,1,1,0,0,1
37,1,6,5,1,1,0,1,1
39,0,9,5,1,1,1,1,1
66,1,1,4,1,1,0,0,1
42,0,6,5,1,1,0,1,1
42,0,7,5,1,1,0,1,1
41,1,6,5,1,1,0,1,1
44,1,6,5,1,1,0,1,1
10,1,1,2,1,1,0,1,0
77,1,1,3,1,1,0,0,0
53,0,6,4,1,1,0,0,1
71,0,5,4,1,1,0,1,1
64,1,1,3,1,1,0,0,1
50,0,8,5,1,1,0,1,1
50,1,4,5,1,1,0,1,1
24,0,2,5,1,1,0,1,1
53,0,10,5,1,1,0,1,1
51,1,1,5,1,1,0,0,1
48,0,9,5,1,1,1,1,1
45,1,8,5,1,1,0,1,1
70,1,4,2,1,1,0,0,0
47,0,4,5,1,1,0,1,1
47,1,1,5,1,1,0,1,1
49,0,4,5,1,1,0,1,1
63,0,4,5,1,0,0,0,1
58,1,1,5,1,1,0,1,1
21,1,1,5,1,1,0,1,1
49,0,6,5,1,1,0,1,1
46,1,1,5,1,1,0,1,1
50,0,5,4,1,1,0,1,1
51,1,1,5,1,1,0,0,1
50,0,5,5,1,1,0,1,1
45,1,4,5,1,1,0,1,1
18,0,1,4,1,1,0,1,1
48,0,6,6,1,1,0,1,1
49,1,1,5,1,1,0,1,0
41,1,7,5,1,1,0,0,0
16,0,1,4,1,1,1,0,0
58,0,5,5,1,1,0,1,1
55,1,1,5,1,1,0,0,1
59,0,10,5,1,1,0,0,1
56,1,1,5,1,1,0,0,1
28,0,7,5,1,1,0,1,1
81,1,1,2,1,0,0,0,0
63,0,4,4,1,1,0,0,0
60,1,1,4,1,1,0,0,1
77,0,4,4,1,0,0,0,0
73,1,1,2,1,1,0,0,1
57,0,10,4,1,1,0,0,1
56,1,1,4,1,1,0,0,1
57,0,10,5,1,1,0,0,1
53,1,1,4,1,1,0,0,1
50,1,7,4,1,1,0,0,1
55,0,10,4,1,1,0,0,1
55,1,1,4,1,1,0,0,0
29,0,7,5,1,1,0,1,1
61,0,12,5,1,1,0,0,0
56,1,1,5,1,1,0,0,1
29,0,7,5,1,1,1,1,1
42,1,1,5,1,1,0,1,1
43,0,12,5,1,1,0,1,1
64,0,7,5,1,1,0,0,1
62,1,7,5,1,1,0,1,1
34,0,7,5,1,1,0,1,1
29,1,7,5,1,1,0,1,1
57,1,7,4,1,1,0,0,1
38,0,11,5,1,1,0,0,1
38,1,1,5,1,1,0,0,0
8,1,1,2,1,0,0,0,0
69,1,5,4,1,1,0,0,0
73,0,3,2,1,1,0,0,0
65,1,3,2,1,0,0,0,0
70,0,4,3,1,0,0,0,0
69,1,1,3,1,0,0,0,0
30,1,7,5,1,1,0,0,1
