날짜,강수량,평균기온
2010-01-01,-0.0,-4.9
2010-01-03,0.0,-2.9
2010-01-06,0.3,-7.3
2010-01-07,0.0,-6.7
2010-01-09,0.1,-3.1
2010-01-10,0.0,-1.3
2010-01-16,0.0,-4.1
2010-01-17,0.0,-3.1
2010-01-18,0.0,-0.4
2010-01-20,10.8,8.0
2010-01-21,3.1,1.3
2010-01-23,0.1,-2.7
2010-01-26,0.0,-2.3
2010-01-29,0.0,0.2
2010-01-30,0.0,1.9
2010-01-31,-0.0,3.0
2010-02-03,0.0,-4.9
2010-02-04,0.1,-2.9
2010-02-05,0.0,-1.8
2010-02-11,17.3,2.4
2010-02-13,1.9,-0.7
2010-02-15,0.1,-0.5
2010-02-17,0.4,-1.2
2010-02-18,0.5,-1.1
2010-02-19,-0.1,-0.6
2010-02-22,0.0,5.2
2010-02-23,0.0,6.4
2010-02-24,0.0,11.2
2010-02-25,33.4,13.4
2010-02-26,4.1,9.4
2010-02-28,0.1,7.1
2010-03-02,0.3,4.2
2010-03-05,3.8,6.9
2010-03-06,3.3,5.5
2010-03-09,5.7,2.3
2010-03-10,3.9,-0.3
2010-03-11,0.0,3.0
2010-03-14,1.1,8.0
2010-03-16,0.0,3.2
2010-03-17,1.1,2.4
2010-03-22,2.0,4.4
2010-03-23,2.4,7.0
2010-03-25,4.6,5.1
2010-03-27,0.9,5.6
2010-03-28,0.0,6.2
2010-03-31,18.8,8.8
2010-04-01,15.8,8.9
2010-04-07,0.1,6.9
2010-04-10,0.1,12.2
2010-04-11,0.9,12.3
2010-04-12,3.8,11.8
2010-04-15,0.0,6.2
2010-04-16,-0.0,7.4
2010-04-18,0.2,10.9
2010-04-20,0.2,15.6
2010-04-23,2.0,9.6
2010-04-24,0.0,10.5
2010-04-27,4.2,10.2
2010-04-29,0.5,10.2
2010-04-30,0.0,11.4
2010-05-03,0.0,20.0
2010-05-05,0.4,20.2
2010-05-06,5.2,17.6
2010-05-08,0.0,17.2
2010-05-09,0.0,18.1
2010-05-11,0.8,13.9
2010-05-13,0.0,14.5
2010-05-14,0.0,15.9
2010-05-15,0.0,16.0
2010-05-17,5.8,19.4
2010-05-18,51.4,18.0
2010-05-19,2.4,19.3
2010-05-21,0.0,21.7
2010-05-25,1.9,15.2
2010-05-26,0.2,16.3
2010-05-28,0.0,15.5
2010-05-29,0.0,17.3
2010-06-01,0.0,16.4
2010-06-02,0.0,18.4
2010-06-03,0.0,20.5
2010-06-06,1.6,22.1
2010-06-07,0.6,21.7
2010-06-08,0.0,21.4
2010-06-09,0.0,22.4
2010-06-10,0.0,22.6
2010-06-12,11.9,20.3
2010-06-14,2.8,23.0
2010-06-22,0.0,23.0
2010-06-23,0.0,22.5
2010-06-24,0.0,23.1
2010-06-27,3.9,22.7
2010-06-28,9.2,23.2
2010-06-29,0.1,24.2
2010-07-01,5.0,24.8
2010-07-03,6.1,24.8
2010-07-04,1.4,24.2
2010-07-06,0.4,25.8
2010-07-07,1.1,24.7
2010-07-08,0.7,23.7
2010-07-10,-4.6,24.6
