rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
1,0,OLD,5/15/2020,20208282,47336700,14.9,54.8
2,1,OLD,5/15/2020,20207893,38373060,12.1,56.9
3,1,OLD,5/15/2020,20208686,30830880,9.7,38.4
4,1,OLD,5/15/2020,20207341,32465580,10.2,57
5,3,OLD,5/15/2020,20207722,17238460,5.4,62.1
6,0,OLD,5/15/2020,20205402,17360200,5.5,11.6
7,-5,OLD,5/15/2020,20113252,18601020,5.9,-24.6
8,-1,OLD,5/15/2020,20173226,16826520,5.3,37.8
9,2,OLD,5/15/2020,20204501,16067340,5.1,14.6
10,2,OLD,5/15/2020,20208562,8801780,2.8,25.5
1,1,OLD,5/16/2020,20207893,122574920,19.9,219.4
2,-1,OLD,5/16/2020,20208282,94441600,15.3,99.5
3,0,OLD,5/16/2020,20208686,59941300,9.7,94.4
4,0,OLD,5/16/2020,20207341,50804920,8.3,56.5
5,2,OLD,5/16/2020,20113252,40464380,6.6,117.5
6,0,OLD,5/16/2020,20205402,31540960,5.1,81.7
7,1,OLD,5/16/2020,20173226,31497680,5.1,87.2
8,-3,OLD,5/16/2020,20207722,18733100,3,8.7
9,0,OLD,5/16/2020,20204501,26871840,4.4,67.2
10,0,OLD,5/16/2020,20208562,16215420,2.6,84.2
1,0,OLD,5/17/2020,20207893,135228640,23.5,10.3
2,0,OLD,5/17/2020,20208282,76122600,13.2,-19.4
3,0,OLD,5/17/2020,20208686,59582040,10.4,-0.6
4,0,OLD,5/17/2020,20207341,38488200,6.7,-24.2
5,1,OLD,5/17/2020,20205402,29737100,5.2,-5.7
6,1,OLD,5/17/2020,20173226,28196000,4.9,-10.5
7,-2,OLD,5/17/2020,20113252,27675540,4.8,-31.6
8,0,OLD,5/17/2020,20207722,22697160,3.9,21.2
9,0,NEW,5/17/2020,20196272,10000000,1.7,100
10,-1,OLD,5/17/2020,20204501,27279620,4.7,1.5
1,0,OLD,5/18/2020,20207893,47498440,22.5,-64.9
2,0,OLD,5/18/2020,20208282,23232400,11,-69.5
3,0,OLD,5/18/2020,20208686,20758320,9.8,-65.2
4,0,OLD,5/18/2020,20207341,16333240,7.7,-57.6
5,2,OLD,5/18/2020,20113252,13592820,6.4,-50.9
6,2,OLD,5/18/2020,20207722,10141040,4.8,-55.3
7,-1,OLD,5/18/2020,20173226,11048440,5.2,-60.8
8,-3,OLD,5/18/2020,20205402,8653360,4.1,-70.9
9,0,NEW,5/18/2020,20196782,5850000,2.8,100
10,1,OLD,5/18/2020,20208562,5308360,2.5,-64.3
1,0,OLD,5/19/2020,20207893,50804000,22.9,7
2,0,OLD,5/19/2020,20208282,24481600,11,5.4
3,0,OLD,5/19/2020,20208686,20890080,9.4,0.6
4,0,OLD,5/19/2020,20207341,17349620,7.8,6.2
5,0,OLD,5/19/2020,20113252,12949580,5.8,-4.7
6,1,OLD,5/19/2020,20173226,12517620,5.6,13.3
7,-1,OLD,5/19/2020,20207722,9927240,4.5,-2.1
8,0,OLD,5/19/2020,20205402,7435380,3.4,-14.1
9,2,OLD,5/19/2020,20204501,12976000,5.9,41.5
10,0,OLD,5/19/2020,20208562,5569140,2.5,4.9
1,0,OLD,5/20/2020,20207893,46032460,19.6,-9.4
2,0,OLD,5/20/2020,20208282,22656300,9.6,-7.5
3,0,NEW,5/20/2020,20208122,20364240,8.7,100
4,0,NEW,5/20/2020,20208663,12817660,5.4,100
5,0,NEW,5/20/2020,20189987,13535300,5.8,100
6,-3,OLD,5/20/2020,20208686,11119920,4.7,-46.8
7,0,NEW,5/20/2020,20208741,10967580,4.7,100
8,-3,OLD,5/20/2020,20113252,10846900,4.6,-16.2
9,-5,OLD,5/20/2020,20207341,10867780,4.6,-37.4
10,-4,OLD,5/20/2020,20173226,10146300,4.3,-18.9
1,102,OLD,5/21/2020,20179462,35238660,14.3,201494.2
2,-1,OLD,5/21/2020,20207893,42042140,17,-8.7
3,0,OLD,5/21/2020,20208122,20100060,8.1,-1.3
4,-2,OLD,5/21/2020,20208282,18902800,7.7,-16.6
5,0,OLD,5/21/2020,20189987,10387940,4.2,-23.3
6,-2,OLD,5/21/2020,20208663,9026600,3.7,-29.6
7,32,OLD,5/21/2020,20190280,8872360,3.6,2831.1
8,-2,OLD,5/21/2020,20208686,8702920,3.5,-21.7
9,-1,OLD,5/21/2020,20113252,7549320,3.1,-30.4
10,0,NEW,5/21/2020,20208265,7226500,2.9,100
1,0,OLD,5/22/2020,20179462,49038460,17.5,39.2
2,0,OLD,5/22/2020,20207893,54145940,19.3,28.8
3,0,OLD,5/22/2020,20208122,27570020,9.8,37.2
4,0,OLD,5/22/2020,20208282,23305900,8.3,23.3
5,0,OLD,5/22/2020,20189987,11543480,4.1,11.1
6,0,OLD,5/22/2020,20208663,9458280,3.4,4.8
7,4,OLD,5/22/2020,20173226,9254000,3.3,29.8
8,4,OLD,5/22/2020,20207341,8287940,3,21.7
9,0,OLD,5/22/2020,20113252,8223440,2.9,8.9
10,-2,OLD,5/22/2020,20208686,7398020,2.6,-15
1,0,OLD,5/23/2020,20179462,101373020,16.7,106.7
2,0,OLD,5/23/2020,20207893,141211460,23.2,160.8
3,0,OLD,5/23/2020,20208122,60842860,10,120.7
4,0,OLD,5/23/2020,20208282,44588000,7.3,91.3
5,0,OLD,5/23/2020,20189987,27745260,4.6,140.4
6,5,OLD,5/23/2020,20190280,20398200,3.4,186
7,0,OLD,5/23/2020,20173226,19869580,3.3,114.7
8,4,OLD,5/23/2020,20205402,15775420,2.6,183.8
9,-3,OLD,5/23/2020,20208663,15888160,2.6,68
10,0,OLD,5/23/2020,20208686,15835120,2.6,114
1,0,OLD,5/24/2020,20179462,104883200,17.7,3.5
2,0,OLD,5/24/2020,20207893,134574680,22.7,-4.7
3,0,OLD,5/24/2020,20208122,58586060,9.9,-3.7
4,0,OLD,5/24/2020,20208282,43900900,7.4,-1.5
5,0,OLD,5/24/2020,20189987,27195800,4.6,-2
6,0,OLD,5/24/2020,20190280,20955800,3.5,2.7
7,0,OLD,5/24/2020,20173226,24012420,4,20.9
8,0,OLD,5/24/2020,20205402,17499580,2.9,10.9
9,1,OLD,5/24/2020,20208686,18592720,3.1,17.4
10,-1,OLD,5/24/2020,20208663,16655820,2.8,4.8
1,0,OLD,5/25/2020,20179462,46185060,21.9,-56
2,0,OLD,5/25/2020,20207893,36578840,17.4,-72.8
3,0,OLD,5/25/2020,20208122,21023320,10,-64.1
4,0,OLD,5/25/2020,20208282,12984100,6.2,-70.4
5,0,OLD,5/25/2020,20189987,9744480,4.6,-64.2
6,0,NEW,5/25/2020,20207501,6540000,3.1,100
7,3,OLD,5/25/2020,20208663,6589420,3.1,-60.4
8,-2,OLD,5/25/2020,20190280,6772200,3.2,-67.7
9,-2,OLD,5/25/2020,20173226,6330900,3,-73.6
10,-1,OLD,5/25/2020,20208686,5116620,2.4,-72.5
1,0,OLD,5/26/2020,20179462,44457980,19.5,-3.7
2,0,OLD,5/26/2020,20207893,38129600,16.7,4.2
3,0,OLD,5/26/2020,20208122,21655860,9.5,3
4,0,OLD,5/26/2020,20208282,13564100,5.9,4.5
5,0,OLD,5/26/2020,20189987,9997100,4.4,2.6
6,3,OLD,5/26/2020,20173226,7695620,3.4,21.6
7,5,OLD,5/26/2020,20113252,8942500,3.9,99.1
8,2,OLD,5/26/2020,20208686,6689600,2.9,30.7
9,-2,OLD,5/26/2020,20208663,6081560,2.7,-7.7
10,-2,OLD,5/26/2020,20190280,6089620,2.7,-10.1
1,0,NEW,5/27/2020,20209161,59316960,19.8,100
2,-1,OLD,5/27/2020,20179462,51682400,17.3,16.2
3,-1,OLD,5/27/2020,20207893,35198140,11.8,-7.7
4,11,OLD,5/27/2020,20207501,23853860,8,449.9
5,-2,OLD,5/27/2020,20208122,19767380,6.6,-8.7
6,0,NEW,5/27/2020,20208264,19069680,6.4,100
7,0,NEW,5/27/2020,20209029,10768500,3.6,100
8,0,NEW,5/27/2020,20196782,11276280,3.8,100
9,-5,OLD,5/27/2020,20208282,8285000,2.8,-38.9
10,-4,OLD,5/27/2020,20173226,5414100,1.8,-29.6
1,0,OLD,5/28/2020,20209161,51811460,20.3,-12.7
2,0,OLD,5/28/2020,20179462,38425040,15.1,-25.7
3,0,OLD,5/28/2020,20207893,27171060,10.6,-22.8
4,0,OLD,5/28/2020,20207501,16064880,6.3,-32.7
5,0,OLD,5/28/2020,20208122,13530580,5.3,-31.6
6,0,OLD,5/28/2020,20208264,13177520,5.2,-30.9
7,0,OLD,5/28/2020,20209029,9025200,3.5,-16.2
8,0,OLD,5/28/2020,20196782,10377700,4.1,-8
9,6,OLD,5/28/2020,20196857,10752580,4.2,204.1
10,-1,OLD,5/28/2020,20208282,7813500,3.1,-5.7
1,0,OLD,5/29/2020,20209161,63749940,20.7,23
2,0,OLD,5/29/2020,20179462,44772600,14.5,16.5
3,0,OLD,5/29/2020,20207893,34406180,11.1,26.6
4,0,OLD,5/29/2020,20207501,21141460,6.9,31.6
5,0,OLD,5/29/2020,20208122,17709540,5.7,30.9
6,0,OLD,5/29/2020,20208264,17431220,5.6,32.3
7,0,OLD,5/29/2020,20209029,9963800,3.2,10.4
8,0,OLD,5/29/2020,20196782,11545180,3.7,11.2
9,1,OLD,5/29/2020,20208282,9187900,3,17.6
10,0,NEW,5/29/2020,20197390,8440000,2.7,100
1,0,OLD,5/30/2020,20209161,152735040,24.5,139.6
2,0,OLD,5/30/2020,20179462,89430060,14.4,99.7
3,0,OLD,5/30/2020,20207893,89326520,14.4,159.6
4,0,OLD,5/30/2020,20207501,43222340,6.9,104.4
5,0,OLD,5/30/2020,20208122,35455000,5.7,100.2
6,0,OLD,5/30/2020,20208264,32078340,5.2,84
7,1,OLD,5/30/2020,20196782,22827800,3.7,97.7
8,1,OLD,5/30/2020,20208282,16921500,2.7,84.2
9,-2,OLD,5/30/2020,20209029,10442400,1.7,4.8
10,4,OLD,5/30/2020,20180962,13250000,2.1,165
1,0,OLD,5/31/2020,20209161,161089580,25.3,5.5
2,0,OLD,5/31/2020,20179462,86851240,13.6,-2.9
3,0,OLD,5/31/2020,20207893,102086940,16,14.3
4,0,OLD,5/31/2020,20207501,43201900,6.8,0
5,0,OLD,5/31/2020,20208122,35641860,5.6,0.5
6,0,OLD,5/31/2020,20208264,29259520,4.6,-8.8
7,0,OLD,5/31/2020,20196782,20963200,3.3,-8.2
8,1,OLD,5/31/2020,20209029,12403200,1.9,18.8
9,-1,OLD,5/31/2020,20208282,16773300,2.6,-0.9
10,1,OLD,5/31/2020,20173226,13574560,2.1,13.3
