rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
1,0,OLD,4/11/2020,20192399,64475940,18.6,184.2
2,0,OLD,4/11/2020,20205262,48647600,14,122.2
3,0,OLD,4/11/2020,20206402,33040100,9.5,135.4
4,0,OLD,4/11/2020,20204107,26535540,7.7,97.1
5,0,OLD,4/11/2020,20199842,25190400,7.3,139.9
6,0,OLD,4/11/2020,20206446,18325100,5.3,112
7,0,OLD,4/11/2020,20167904,8058620,2.3,91.2
8,0,OLD,4/11/2020,20205902,10985260,3.2,106.2
9,25,OLD,4/11/2020,20190280,9991300,2.9,1924.8
10,3,OLD,4/11/2020,20205708,7787820,2.2,115.5
1,0,OLD,4/12/2020,20192399,66975860,19.4,3.9
2,0,OLD,4/12/2020,20205262,47633600,13.8,-2.1
3,0,OLD,4/12/2020,20206402,35382700,10.3,7.1
4,0,OLD,4/12/2020,20204107,26369260,7.7,-0.6
5,0,OLD,4/12/2020,20199842,25888980,7.5,2.8
6,0,OLD,4/12/2020,20206446,16601700,4.8,-9.4
7,0,OLD,4/12/2020,20167904,7903400,2.3,-1.9
8,1,OLD,4/12/2020,20190280,11153840,3.2,11.6
9,-1,OLD,4/12/2020,20205902,9471880,2.8,-13.8
10,2,OLD,4/12/2020,20176767,4027000,1.2,6.5
1,0,OLD,4/13/2020,20192399,19947280,16.6,-70.2
2,1,OLD,4/13/2020,20206402,13788700,11.5,-61
3,-1,OLD,4/13/2020,20205262,12323600,10.2,-74.1
4,0,OLD,4/13/2020,20204107,8901200,7.4,-66.2
5,0,OLD,4/13/2020,20199842,8078300,6.7,-68.8
6,0,OLD,4/13/2020,20206446,5998500,5,-63.9
7,0,NEW,4/13/2020,20206021,4424000,3.7,100
8,-1,OLD,4/13/2020,20167904,3131900,2.6,-60.4
9,0,OLD,4/13/2020,20205902,4002920,3.3,-57.7
10,0,OLD,4/13/2020,20176767,2040500,1.7,-49.3
1,0,OLD,4/14/2020,20192399,20785160,16.7,4.2
2,1,OLD,4/14/2020,20205262,13830400,11.1,12.2
3,-1,OLD,4/14/2020,20206402,13043800,10.5,-5.4
4,0,OLD,4/14/2020,20204107,9382940,7.5,5.4
5,0,OLD,4/14/2020,20199842,8555860,6.9,5.9
6,0,OLD,4/14/2020,20206446,5820900,4.7,-3
7,1,OLD,4/14/2020,20167904,2868880,2.3,-8.4
8,2,OLD,4/14/2020,20176767,2227000,1.8,9.1
9,0,OLD,4/14/2020,20205902,3372720,2.7,-15.7
10,0,NEW,4/14/2020,20204741,3726000,3,100
1,0,NEW,4/15/2020,20206190,46999900,12.8,100
2,25,OLD,4/15/2020,20206021,46029500,12.5,7003.3
3,-2,OLD,4/15/2020,20192399,43609500,11.9,109.8
4,3,OLD,4/15/2020,20167904,23562820,6.4,721.3
5,-3,OLD,4/15/2020,20205262,23886400,6.5,72.7
6,-3,OLD,4/15/2020,20206402,22872200,6.2,75.3
7,3,OLD,4/15/2020,20204741,20979740,5.7,463.1
8,0,NEW,4/15/2020,20196716,16079120,4.4,100
9,31,OLD,4/15/2020,20190280,8595760,2.3,2109.3
10,0,NEW,4/15/2020,20161827,11436980,3.1,100
1,1,OLD,4/16/2020,20206021,21120500,14.5,-54.1
2,-1,OLD,4/16/2020,20206190,19157800,13.1,-59.2
3,1,OLD,4/16/2020,20167904,10710160,7.3,-54.5
4,-1,OLD,4/16/2020,20192399,13124260,9,-69.9
5,2,OLD,4/16/2020,20204741,9618740,6.6,-54.2
6,2,OLD,4/16/2020,20196716,7592840,5.2,-52.8
7,-1,OLD,4/16/2020,20206402,7134100,4.9,-68.8
8,-3,OLD,4/16/2020,20205262,6596100,4.5,-72.4
9,1,OLD,4/16/2020,20161827,5400580,3.7,-52.8
10,1,OLD,4/16/2020,20206447,4450760,3.1,-63.3
1,2,OLD,4/17/2020,20167904,14425460,7.6,34.7
2,0,OLD,4/17/2020,20206190,25026760,13.2,30.6
3,1,OLD,4/17/2020,20192399,21255920,11.2,62
4,-3,OLD,4/17/2020,20206021,20506500,10.8,-2.9
5,0,OLD,4/17/2020,20204741,13042680,6.9,35.6
6,0,OLD,4/17/2020,20196716,13153440,7,73.2
7,1,OLD,4/17/2020,20205262,9171000,4.8,39
